target_class,gene,attr_mean_signed,attr_mean_abs,attr_pos_frac,n_cells
flua,PRRC2C,0.008341425919519826,0.008945918274210693,0.3085279739272135,1841
flua,MT-RNR1,0.008341172978176752,0.025653113948463552,0.6311787072243346,1841
flua,IFITM3,0.008311461869754719,0.009311131902326391,0.4024986420423683,1841
flua,RP11-561B11.2,0.008200911886986023,0.008634946552357681,0.1276480173818577,1841
flua,PRKCD,0.008186701348275028,0.008379340746492098,0.1461162411732754,1841
flua,TSC22D3,0.008127934006505657,0.008695584788133372,0.24443237370994025,1841
flua,RPL3,0.008089835567846045,0.008251565940058924,0.08039109179793591,1841
flua,CREM,0.008067031279165806,0.00933655635906522,0.20912547528517111,1841
flua,LDHA,0.00802793031247785,0.00813563773484414,0.2688756110809343,1841
flua,ZNF267,0.007987176308419509,0.008005130297460354,0.22868006518196632,1841
flua,MT-CO2,0.007981697653381317,0.008627454825615766,0.17979359043997828,1841
flua,H1F0,0.007976923439406883,0.007987226801178237,0.12547528517110265,1841
flua,F3,0.007945178390269626,0.007961766513055397,0.13525258011950028,1841
flua,ARHGDIB,0.007940048176849878,0.010306530344233702,0.17110266159695817,1841
flua,FBXL5,0.007923381199725356,0.008029416519167111,0.3193916349809886,1841
flua,ISG15,0.007855489412965107,0.011952611600038217,0.2254209668658338,1841
flua,HCLS1,0.007792166544004085,0.007933014351216948,0.3204780010863661,1841
flua,PPP1R18,0.007772889504252666,0.008269732410269286,0.19989136338946226,1841
flua,CPEB4,0.0077065117920241495,0.008415845624944686,0.28354155350353066,1841
flua,HERC6,0.007688521355439113,0.007729157052695395,0.1423139598044541,1841
flua,MT-CO3,0.007650352591554605,0.00992717397627398,0.15317762085822922,1841
flua,MTRNR2L1,0.007511907432679571,0.010952071529053788,0.15697990222705052,1841
flua,STEAP4,0.007383071458789721,0.008162987715423528,0.26833242802824553,1841
flua,RIPOR2,0.007320239824292972,0.007414164838099337,0.4345464421510049,1841
flua,IFIT3,0.007172582218790754,0.014554647907881812,0.25203693644758285,1841
flua,TAP1,0.007091336415666785,0.010359985455425455,0.17164584464964694,1841
flua,PRKDC,0.007087893235673728,0.007300662272394772,0.18468223791417707,1841
flua,TMEM154,0.007051906299548166,0.007918023006026348,0.24171645844649647,1841
flua,SAMD9,0.007047753983431702,0.009750141956960294,0.27430744160782183,1841
flua,MALAT1,0.007032513436352928,0.012858488033932879,0.6588810429114612,1841
flua,PPIA,0.006940890909443239,0.007866127480232217,0.06463878326996197,1841
flua,HSPB8,0.006906413001204106,0.00697418865542869,0.11406844106463879,1841
flua,RPL14,0.006893949696489613,0.006928940281870894,0.11678435632808257,1841
flua,PABPC1,0.006837561979509449,0.010332094892932306,0.27322107550244434,1841
flua,TIMP1,0.006820548598951519,0.007818580466984797,0.08636610537751223,1841
flua,SDCBP,0.0067892314371435876,0.008312495335297116,0.43183052688756113,1841
flua,NIPBL,0.006787423473428217,0.007036440683521699,0.2351982618142314,1841
flua,SPRR1A,0.006772745792217257,0.007013421554759849,0.05866376969038566,1841
flua,CD300E,0.006767891189068281,0.007217677451249279,0.052688756110809344,1841
flua,ITM2B,0.006764610562552452,0.007865026941252816,0.5073329712112982,1841
flua,LLNLF-96A1.1,0.006712403980077187,0.009227630833547313,0.200434546442151,1841
flua,RPL7,0.006655497346447739,0.007367430741978138,0.022813688212927757,1841
flua,NAIP,0.006567289336700355,0.014718322246246918,0.09614340032590983,1841
flua,SMCHD1,0.006563525680312963,0.014901955042890335,0.423139598044541,1841
flua,RNF130,0.0065565440380851705,0.007133173495773904,0.1200434546442151,1841
flua,PRRG4,0.0065298260132428555,0.00688898395635653,0.08799565453557849,1841
flua,DOCK8,0.006496030527699713,0.006856227211658233,0.25312330255296034,1841
flua,ALOX5AP,0.006493882817913824,0.007589968240079771,0.29766431287343836,1841
flua,SP1,0.006434508521941484,0.006488189222630051,0.1499185225420967,1841
flua,EEF1A1,0.006425300918343451,0.010526492746545853,0.24225964149918522,1841
flua,NCF2,0.006279368005138516,0.009129240250924176,0.2552960347637154,1841
flua,CASP4,0.006274292724068433,0.00651364146627077,0.329712112982075,1841
flua,PPP4R2,0.006254758649909872,0.006853904233135521,0.11895708853883759,1841
flua,LILRB3,0.006211525396864289,0.007257159016237254,0.2618142313959804,1841
flua,DIAPH1,0.006203058700338775,0.006269175314437042,0.25692558392178166,1841
flua,MYD88,0.006197741842995125,0.006261919177400878,0.2922324823465508,1841
flua,CHD2,0.006162761753583848,0.009673020442758546,0.17218902770233568,1841
flua,AQP3,0.006154738825056368,0.006283022016124969,0.09342748506246605,1841
flua,FAU,0.006126256220524302,0.006240515195193464,0.048343291689299295,1841
flua,IL18RAP,0.0061220164830143335,0.009541964831234385,0.07387289516567083,1841
flua,ATP1B1,0.006091742744463931,0.006094478382357173,0.1510048886474742,1841
flua,NCOA4,0.006091207099925688,0.0062157268160908585,0.23791417707767518,1841
flua,KLK7,0.00603223318463755,0.006695644452455638,0.06572514937533949,1841
flua,PAG1,0.006029764976451605,0.00612219844149028,0.18522542096686584,1841
flua,CMTM6,0.006001314232282701,0.006946586594511671,0.27322107550244434,1841
flua,BIRC3,0.005954997115229731,0.006136516563387943,0.0977729494839761,1841
flua,HCP5,0.0059454918053407895,0.006174160174657183,0.11298207495926127,1841
flua,SSH2,0.005832614982424791,0.007279576016372471,0.10700706137968495,1841
flua,RPS11,0.005803506666595103,0.006394915244279512,0.16784356328082564,1841
flua,UPP1,0.005792251043932261,0.00591225039450647,0.19391634980988592,1841
flua,MXD1,0.005672886833980566,0.009998822684912239,0.3041825095057034,1841
flua,TNFRSF1B,0.005652020481505645,0.006254687051388441,0.4177077675176534,1841
flua,LEPROT,0.005589149195735284,0.006338542962668383,0.09234111895708853,1841
flua,FKBP5,0.005577280225069351,0.005656815176988542,0.1966322650733297,1841
flua,DDX3Y,0.005576006550390409,0.007554691422493933,0.11026615969581749,1841
flua,FFAR2,0.005575822085538745,0.012529174136053539,0.2601846822379142,1841
flua,CHMP1B,0.005564499298380743,0.00600316050719917,0.17653449212384573,1841
flua,RPAP2,0.005502942166433329,0.005526642333807212,0.07387289516567083,1841
flua,NSMAF,0.005472827368880794,0.005606717195833332,0.1548071700162955,1841
flua,IVNS1ABP,0.005428223742707341,0.007972695083154537,0.3856599674090168,1841
flua,NACA,0.005385751680697131,0.005447691983337444,0.14177077675176533,1841
flua,TNFAIP6,0.00534887726093394,0.010153049306659709,0.15426398696360674,1841
flua,CD9,0.00534413480956162,0.005407815027146285,0.11569799022270505,1841
flua,WASL,0.005326403876071485,0.005331132374299182,0.0977729494839761,1841
flua,PCNX1,0.005298429895708381,0.007139961015167993,0.11950027159152635,1841
flua,GLTSCR2,0.005244592401223831,0.005335789357222483,0.057577403585008145,1841
flua,HNRNPA1,0.005243443189384107,0.0053321988499404165,0.09288430200977729,1841
flua,SESN3,0.005221280021064837,0.005285806939363002,0.04182509505703422,1841
flua,IFI44L,0.0051749992340657455,0.008366008286628951,0.11787072243346007,1841
flua,CTSD,0.005128714155318749,0.005167218545398138,0.22487778381314502,1841
flua,MX1,0.005098645979541595,0.007551702693517541,0.4720260727865291,1841
flua,DENND3,0.005064877765157069,0.005865425330782506,0.11026615969581749,1841
flua,CNN2,0.005063647824192358,0.005403882358982018,0.21510048886474742,1841
flua,MSN,0.005044568307790855,0.007086619350296333,0.267246061922868,1841
flua,LYZ,0.005040531888470612,0.005866317639996474,0.14394350896252037,1841
flua,HLA-E,0.0050105467501426765,0.008280909924258492,0.4220532319391635,1841
flua,AFF4,0.004988783862217168,0.005237399058650202,0.19228680065181966,1841
flua,MMP25,0.004986338598409841,0.00659031385332265,0.17381857686040195,1841
flua,CDC42SE1,0.004969812713114222,0.005197758966978965,0.23574144486692014,1841
flua,RPS3,0.004943469828394349,0.005362791805500281,0.11732753938077133,1841
flua,BHLHE40,0.004933950994598807,0.004979837799140256,0.15317762085822922,1841
